source,month,quarter,category,brand_reported,sku_raw,channel,geo_level,geo,observed_units,observed_sales,coverage
ciq_ecommerce,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET-RX_L,E-commerce,National,National,16378,884393.92,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET-RX_S,E-commerce,National,National,22455,1212539.79,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL_L,E-commerce,National,National,23859,1550881.44,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL_S,E-commerce,National,National,31419,2042227.73,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD-VAX_L,E-commerce,National,National,19930,398597.8,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD-VAX_S,E-commerce,National,National,28158,563176.97,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM_L,E-commerce,National,National,17384,1008290.79,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM_S,E-commerce,National,National,25111,1456417.85,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH-VET_L,E-commerce,National,National,35728,607369.76,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH-VET_S,E-commerce,National,National,50504,858558.24,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP-PRO_L,E-commerce,National,National,51086,1072808.57,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP-PRO_S,E-commerce,National,National,68116,1430464.2,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE-JOINT_L,E-commerce,National,National,14178,623845.36,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE-JOINT_S,E-commerce,National,National,19078,839450.46,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE-CANINE_L,E-commerce,National,National,25483,535128.02,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE-CANINE_S,E-commerce,National,National,35533,746185.11,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA_L,E-commerce,National,National,11753,564123.26,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA_S,E-commerce,National,National,16165,775914.22,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE-VET_L,E-commerce,National,National,12966,531631.68,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE-VET_S,E-commerce,National,National,17744,727479.18,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY-CANINE_L,E-commerce,National,National,11227,415444.58,0.82
ciq_ecommerce,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY-CANINE_S,E-commerce,National,National,16212,599868.84,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB-ANALYZER_L,E-commerce,National,National,22130,331950.04,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB-ANALYZER_S,E-commerce,National,National,30301,454508.36,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET-DX_L,E-commerce,National,National,35201,563225.43,0.82
ciq_ecommerce,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET-DX_S,E-commerce,National,National,47959,767350.84,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA-TRIO_L,E-commerce,National,National,80587,2256422.21,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA-TRIO_S,E-commerce,National,National,114159,3196427.69,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF-PRO_L,E-commerce,National,National,13774,674913.17,0.82
ciq_ecommerce,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF-PRO_S,E-commerce,National,National,19569,958830.97,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD-PLUS_L,E-commerce,National,National,55980,1343492.12,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD-PLUS_S,E-commerce,National,National,80771,1938501.33,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD_L,E-commerce,National,National,20625,453763.95,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD_S,E-commerce,National,National,28429,625463.23,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD_L,E-commerce,National,National,72702,1890258.08,0.82
ciq_ecommerce,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD_S,E-commerce,National,National,95632,2486457.54,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD-IMMUNIZE_L,E-commerce,National,National,18925,359575.15,0.82
ciq_ecommerce,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD-IMMUNIZE_S,E-commerce,National,National,26898,511070.48,0.82
