month,quarter,category,channel,control_total_sales
2024-04,2024-Q2,Dermatology,E-commerce,13823678.77
2024-04,2024-Q2,Dermatology,Retail,12244960.28
2024-04,2024-Q2,Dermatology,Veterinary,54698003.97
2024-04,2024-Q2,Pain/Osteoarthritis,E-commerce,7425767.23
2024-04,2024-Q2,Pain/Osteoarthritis,Retail,5683627.24
2024-04,2024-Q2,Pain/Osteoarthritis,Veterinary,35177553.35
2024-04,2024-Q2,Parasiticides,E-commerce,23448943.58
2024-04,2024-Q2,Parasiticides,Retail,48681888.08
2024-04,2024-Q2,Parasiticides,Veterinary,49286489.75
2024-04,2024-Q2,Petcare Diagnostics,E-commerce,7054549.96
2024-04,2024-Q2,Petcare Diagnostics,Retail,3557920.26
2024-04,2024-Q2,Petcare Diagnostics,Veterinary,42480595.55
2024-04,2024-Q2,Vaccines,E-commerce,6069270.36
2024-04,2024-Q2,Vaccines,Retail,6052608.75
2024-04,2024-Q2,Vaccines,Veterinary,53859767.22
2024-05,2024-Q2,Dermatology,E-commerce,15649572.58
2024-05,2024-Q2,Dermatology,Retail,13071583.62
2024-05,2024-Q2,Dermatology,Veterinary,60433280.08
2024-05,2024-Q2,Pain/Osteoarthritis,E-commerce,7087275.45
2024-05,2024-Q2,Pain/Osteoarthritis,Retail,5303662.66
2024-05,2024-Q2,Pain/Osteoarthritis,Veterinary,33242578.62
2024-05,2024-Q2,Parasiticides,E-commerce,26898047.86
2024-05,2024-Q2,Parasiticides,Retail,54116047.37
2024-05,2024-Q2,Parasiticides,Veterinary,55556250.7
2024-05,2024-Q2,Petcare Diagnostics,E-commerce,7225384.46
2024-05,2024-Q2,Petcare Diagnostics,Retail,3486979.65
2024-05,2024-Q2,Petcare Diagnostics,Veterinary,42161943.29
2024-05,2024-Q2,Vaccines,E-commerce,6558764.2
2024-05,2024-Q2,Vaccines,Retail,6246511.17
2024-05,2024-Q2,Vaccines,Veterinary,54983637.79
2024-06,2024-Q2,Dermatology,E-commerce,17156621.1
2024-06,2024-Q2,Dermatology,Retail,14049932.76
2024-06,2024-Q2,Dermatology,Veterinary,64064306.32
2024-06,2024-Q2,Pain/Osteoarthritis,E-commerce,6945054.88
2024-06,2024-Q2,Pain/Osteoarthritis,Retail,4971169.3
2024-06,2024-Q2,Pain/Osteoarthritis,Veterinary,31317710.52
2024-06,2024-Q2,Parasiticides,E-commerce,24257230.61
2024-06,2024-Q2,Parasiticides,Retail,55465330.7
2024-06,2024-Q2,Parasiticides,Veterinary,57833214.55
2024-06,2024-Q2,Petcare Diagnostics,E-commerce,7313419.25
2024-06,2024-Q2,Petcare Diagnostics,Retail,3392110.51
2024-06,2024-Q2,Petcare Diagnostics,Veterinary,41590140.54
2024-06,2024-Q2,Vaccines,E-commerce,6757968.26
2024-06,2024-Q2,Vaccines,Retail,6064126.14
2024-06,2024-Q2,Vaccines,Veterinary,54117076.91
2024-07,2024-Q3,Dermatology,E-commerce,17929062.74
2024-07,2024-Q3,Dermatology,Retail,14381080.45
2024-07,2024-Q3,Dermatology,Veterinary,64896958.6
2024-07,2024-Q3,Pain/Osteoarthritis,E-commerce,6920320.46
2024-07,2024-Q3,Pain/Osteoarthritis,Retail,4619442.62
2024-07,2024-Q3,Pain/Osteoarthritis,Veterinary,30099158.23
2024-07,2024-Q3,Parasiticides,E-commerce,27714988.26
2024-07,2024-Q3,Parasiticides,Retail,54415981.32
2024-07,2024-Q3,Parasiticides,Veterinary,54996568.37
2024-07,2024-Q3,Petcare Diagnostics,E-commerce,7575654.6
2024-07,2024-Q3,Petcare Diagnostics,Retail,3390052.19
2024-07,2024-Q3,Petcare Diagnostics,Veterinary,41266458.08
2024-07,2024-Q3,Vaccines,E-commerce,6834644.52
2024-07,2024-Q3,Vaccines,Retail,5875799.81
2024-07,2024-Q3,Vaccines,Veterinary,52067046.68
2024-08,2024-Q3,Dermatology,E-commerce,18072501.69
2024-08,2024-Q3,Dermatology,Retail,13936681.77
2024-08,2024-Q3,Dermatology,Veterinary,64558461.72
2024-08,2024-Q3,Pain/Osteoarthritis,E-commerce,7042554.36
2024-08,2024-Q3,Pain/Osteoarthritis,Retail,4583505.06
2024-08,2024-Q3,Pain/Osteoarthritis,Veterinary,29308081.52
2024-08,2024-Q3,Parasiticides,E-commerce,25988677.71
2024-08,2024-Q3,Parasiticides,Retail,48955132.02
2024-08,2024-Q3,Parasiticides,Veterinary,49437788.78
2024-08,2024-Q3,Petcare Diagnostics,E-commerce,7687096.62
2024-08,2024-Q3,Petcare Diagnostics,Retail,3274977.36
2024-08,2024-Q3,Petcare Diagnostics,Veterinary,40130065.62
2024-08,2024-Q3,Vaccines,E-commerce,6764691.93
2024-08,2024-Q3,Vaccines,Retail,5378766.35
2024-08,2024-Q3,Vaccines,Veterinary,48275101.07
2024-09,2024-Q3,Dermatology,E-commerce,17963698.46
2024-09,2024-Q3,Dermatology,Retail,13710091.18
2024-09,2024-Q3,Dermatology,Veterinary,62081644.87
2024-09,2024-Q3,Pain/Osteoarthritis,E-commerce,7248105.08
2024-09,2024-Q3,Pain/Osteoarthritis,Retail,4634024.44
2024-09,2024-Q3,Pain/Osteoarthritis,Veterinary,29868098.13
2024-09,2024-Q3,Parasiticides,E-commerce,22570171.41
2024-09,2024-Q3,Parasiticides,Retail,41950008.34
2024-09,2024-Q3,Parasiticides,Veterinary,41605410.32
2024-09,2024-Q3,Petcare Diagnostics,E-commerce,7617861.45
2024-09,2024-Q3,Petcare Diagnostics,Retail,3111781.69
2024-09,2024-Q3,Petcare Diagnostics,Veterinary,39092495.77
2024-09,2024-Q3,Vaccines,E-commerce,6607941.71
2024-09,2024-Q3,Vaccines,Retail,5037926.55
2024-09,2024-Q3,Vaccines,Veterinary,45896270.6
2024-10,2024-Q4,Dermatology,E-commerce,17084664.73
2024-10,2024-Q4,Dermatology,Retail,12467235.15
2024-10,2024-Q4,Dermatology,Veterinary,56441941.34
2024-10,2024-Q4,Pain/Osteoarthritis,E-commerce,7922715.19
2024-10,2024-Q4,Pain/Osteoarthritis,Retail,4876988.47
2024-10,2024-Q4,Pain/Osteoarthritis,Veterinary,31680676.19
2024-10,2024-Q4,Parasiticides,E-commerce,19339976.56
2024-10,2024-Q4,Parasiticides,Retail,34555576.7
2024-10,2024-Q4,Parasiticides,Veterinary,34688074.25
2024-10,2024-Q4,Petcare Diagnostics,E-commerce,7752203.23
2024-10,2024-Q4,Petcare Diagnostics,Retail,3016428.79
2024-10,2024-Q4,Petcare Diagnostics,Veterinary,38775945.43
2024-10,2024-Q4,Vaccines,E-commerce,6554540.92
2024-10,2024-Q4,Vaccines,Retail,4760098.85
2024-10,2024-Q4,Vaccines,Veterinary,42944282.83
2024-11,2024-Q4,Dermatology,E-commerce,15703370.2
2024-11,2024-Q4,Dermatology,Retail,11128213.13
2024-11,2024-Q4,Dermatology,Veterinary,51456074.12
2024-11,2024-Q4,Pain/Osteoarthritis,E-commerce,8987490.31
2024-11,2024-Q4,Pain/Osteoarthritis,Retail,5261093.04
2024-11,2024-Q4,Pain/Osteoarthritis,Veterinary,33849139.71
2024-11,2024-Q4,Parasiticides,E-commerce,16740256.74
2024-11,2024-Q4,Parasiticides,Retail,29611058.73
2024-11,2024-Q4,Parasiticides,Veterinary,29360892.32
2024-11,2024-Q4,Petcare Diagnostics,E-commerce,8287238.93
2024-11,2024-Q4,Petcare Diagnostics,Retail,3115208.11
2024-11,2024-Q4,Petcare Diagnostics,Veterinary,39414880.3
2024-11,2024-Q4,Vaccines,E-commerce,6595309.44
2024-11,2024-Q4,Vaccines,Retail,4725047.26
2024-11,2024-Q4,Vaccines,Veterinary,41733714.44
2024-12,2024-Q4,Dermatology,E-commerce,15005484.15
2024-12,2024-Q4,Dermatology,Retail,10188594.23
2024-12,2024-Q4,Dermatology,Veterinary,47192945.82
2024-12,2024-Q4,Pain/Osteoarthritis,E-commerce,9733051.5
2024-12,2024-Q4,Pain/Osteoarthritis,Retail,5584285.18
2024-12,2024-Q4,Pain/Osteoarthritis,Veterinary,35910665.91
2024-12,2024-Q4,Parasiticides,E-commerce,16112488.97
2024-12,2024-Q4,Parasiticides,Retail,27952006.7
2024-12,2024-Q4,Parasiticides,Veterinary,27221576.53
2024-12,2024-Q4,Petcare Diagnostics,E-commerce,8784519.94
2024-12,2024-Q4,Petcare Diagnostics,Retail,3156606.86
2024-12,2024-Q4,Petcare Diagnostics,Veterinary,40047391.12
2024-12,2024-Q4,Vaccines,E-commerce,6786185.58
2024-12,2024-Q4,Vaccines,Retail,4558157.53
2024-12,2024-Q4,Vaccines,Veterinary,42062332.62
2025-01,2025-Q1,Dermatology,E-commerce,14598174.98
2025-01,2025-Q1,Dermatology,Retail,10010479.34
2025-01,2025-Q1,Dermatology,Veterinary,46180009.62
2025-01,2025-Q1,Pain/Osteoarthritis,E-commerce,10658483.09
2025-01,2025-Q1,Pain/Osteoarthritis,Retail,6040376.77
2025-01,2025-Q1,Pain/Osteoarthritis,Veterinary,38188390.13
2025-01,2025-Q1,Parasiticides,E-commerce,17482853.21
2025-01,2025-Q1,Parasiticides,Retail,29192832.33
2025-01,2025-Q1,Parasiticides,Veterinary,28836149.2
2025-01,2025-Q1,Petcare Diagnostics,E-commerce,9226662.52
2025-01,2025-Q1,Petcare Diagnostics,Retail,3223085.45
2025-01,2025-Q1,Petcare Diagnostics,Veterinary,41263946.54
2025-01,2025-Q1,Vaccines,E-commerce,7646718.51
2025-01,2025-Q1,Vaccines,Retail,4912415.74
2025-01,2025-Q1,Vaccines,Veterinary,45039264.54
2025-02,2025-Q1,Dermatology,E-commerce,15389320.64
2025-02,2025-Q1,Dermatology,Retail,10302872.25
2025-02,2025-Q1,Dermatology,Veterinary,46758862.77
2025-02,2025-Q1,Pain/Osteoarthritis,E-commerce,10628985.99
2025-02,2025-Q1,Pain/Osteoarthritis,Retail,5869659.47
2025-02,2025-Q1,Pain/Osteoarthritis,Veterinary,37986971.91
2025-02,2025-Q1,Parasiticides,E-commerce,20642882.13
2025-02,2025-Q1,Parasiticides,Retail,34927898.58
2025-02,2025-Q1,Parasiticides,Veterinary,33888058.03
2025-02,2025-Q1,Petcare Diagnostics,E-commerce,9588130.4
2025-02,2025-Q1,Petcare Diagnostics,Retail,3266202.72
2025-02,2025-Q1,Petcare Diagnostics,Veterinary,42191970.59
2025-02,2025-Q1,Vaccines,E-commerce,8489485.58
2025-02,2025-Q1,Vaccines,Retail,5209403.96
2025-02,2025-Q1,Vaccines,Veterinary,49518754.03
2025-03,2025-Q1,Dermatology,E-commerce,17585474.16
2025-03,2025-Q1,Dermatology,Retail,11116837.57
2025-03,2025-Q1,Dermatology,Veterinary,50873118.59
2025-03,2025-Q1,Pain/Osteoarthritis,E-commerce,10965052.54
2025-03,2025-Q1,Pain/Osteoarthritis,Retail,5795570.01
2025-03,2025-Q1,Pain/Osteoarthritis,Veterinary,37792037.42
2025-03,2025-Q1,Parasiticides,E-commerce,26873824.33
