source,sku_raw,sku_canonical,brand
ciq_ecommerce,SIMPARICA-TRIO_S,PAR-SIMPARICA--S,Simparica Trio
stackline_ecommerce,simparica_trio-s,PAR-SIMPARICA--S,Simparica Trio
nielsen_scanner,SIMPARICA TRIO SMALL,PAR-SIMPARICA--S,Simparica Trio
zoetis_vet_internal,PAR-SIMPARICA--S,PAR-SIMPARICA--S,Simparica Trio
ciq_ecommerce,SIMPARICA-TRIO_L,PAR-SIMPARICA--L,Simparica Trio
stackline_ecommerce,simparica_trio-l,PAR-SIMPARICA--L,Simparica Trio
nielsen_scanner,SIMPARICA TRIO LARGE,PAR-SIMPARICA--L,Simparica Trio
zoetis_vet_internal,PAR-SIMPARICA--L,PAR-SIMPARICA--L,Simparica Trio
ciq_ecommerce,VECTRAGUARD_S,PAR-VECTRAGUAR-S,VectraGuard
stackline_ecommerce,vectraguard-s,PAR-VECTRAGUAR-S,VectraGuard
nielsen_scanner,VECTRAGUARD SMALL,PAR-VECTRAGUAR-S,VectraGuard
zoetis_vet_internal,PAR-VECTRAGUAR-S,PAR-VECTRAGUAR-S,VectraGuard
ciq_ecommerce,VECTRAGUARD_L,PAR-VECTRAGUAR-L,VectraGuard
stackline_ecommerce,vectraguard-l,PAR-VECTRAGUAR-L,VectraGuard
nielsen_scanner,VECTRAGUARD LARGE,PAR-VECTRAGUAR-L,VectraGuard
zoetis_vet_internal,PAR-VECTRAGUAR-L,PAR-VECTRAGUAR-L,VectraGuard
ciq_ecommerce,TICKSHIELD-PLUS_S,PAR-TICKSHIELD-S,TickShield Plus
stackline_ecommerce,tickshield_plus-s,PAR-TICKSHIELD-S,TickShield Plus
nielsen_scanner,TICKSHIELD PLUS SMALL,PAR-TICKSHIELD-S,TickShield Plus
zoetis_vet_internal,PAR-TICKSHIELD-S,PAR-TICKSHIELD-S,TickShield Plus
ciq_ecommerce,TICKSHIELD-PLUS_L,PAR-TICKSHIELD-L,TickShield Plus
stackline_ecommerce,tickshield_plus-l,PAR-TICKSHIELD-L,TickShield Plus
nielsen_scanner,TICKSHIELD PLUS LARGE,PAR-TICKSHIELD-L,TickShield Plus
zoetis_vet_internal,PAR-TICKSHIELD-L,PAR-TICKSHIELD-L,TickShield Plus
ciq_ecommerce,FLEASTOP-PRO_S,PAR-FLEASTOP-P-S,FleaStop Pro
stackline_ecommerce,fleastop_pro-s,PAR-FLEASTOP-P-S,FleaStop Pro
nielsen_scanner,FLEASTOP PRO SMALL,PAR-FLEASTOP-P-S,FleaStop Pro
zoetis_vet_internal,PAR-FLEASTOP-P-S,PAR-FLEASTOP-P-S,FleaStop Pro
ciq_ecommerce,FLEASTOP-PRO_L,PAR-FLEASTOP-P-L,FleaStop Pro
stackline_ecommerce,fleastop_pro-l,PAR-FLEASTOP-P-L,FleaStop Pro
nielsen_scanner,FLEASTOP PRO LARGE,PAR-FLEASTOP-P-L,FleaStop Pro
zoetis_vet_internal,PAR-FLEASTOP-P-L,PAR-FLEASTOP-P-L,FleaStop Pro
ciq_ecommerce,VETSELECT-FLEA-TICK_S,PAR-VETSELECT--S,VetSelect Flea & Tick
stackline_ecommerce,vetselect_flea_and_tick-s,PAR-VETSELECT--S,VetSelect Flea & Tick
nielsen_scanner,VETSELECT FLEA & TICK SMALL,PAR-VETSELECT--S,VetSelect Flea & Tick
zoetis_vet_internal,PAR-VETSELECT--S,PAR-VETSELECT--S,VetSelect Flea & Tick
ciq_ecommerce,VETSELECT-FLEA-TICK_L,PAR-VETSELECT--L,VetSelect Flea & Tick
stackline_ecommerce,vetselect_flea_and_tick-l,PAR-VETSELECT--L,VetSelect Flea & Tick
nielsen_scanner,VETSELECT FLEA & TICK LARGE,PAR-VETSELECT--L,VetSelect Flea & Tick
zoetis_vet_internal,PAR-VETSELECT--L,PAR-VETSELECT--L,VetSelect Flea & Tick
ciq_ecommerce,VANGUARD_S,VAC-VANGUARD-S,Vanguard
stackline_ecommerce,vanguard-s,VAC-VANGUARD-S,Vanguard
nielsen_scanner,VANGUARD SMALL,VAC-VANGUARD-S,Vanguard
zoetis_vet_internal,VAC-VANGUARD-S,VAC-VANGUARD-S,Vanguard
ciq_ecommerce,VANGUARD_L,VAC-VANGUARD-L,Vanguard
stackline_ecommerce,vanguard-l,VAC-VANGUARD-L,Vanguard
nielsen_scanner,VANGUARD LARGE,VAC-VANGUARD-L,Vanguard
