month,quarter,category,brand,is_zoetis,channel,geo_level,geo,true_sales,true_units
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,3891678.11,138989
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,South,6025581.98,215199
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,3812792.55,136171
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,West,4074132.47,145505
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,National,National,17804185.11,635864
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,2822055.03,100788
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,South,4612012.95,164715
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,2797856.77,99923
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,West,3068988.06,109607
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,Retail,National,National,13300912.81,475033
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1461648.42,52202
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2266772.86,80956
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1438909.68,51390
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1552790.58,55457
2024-04,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,National,National,6720121.55,240004
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,4259858.74,152138
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,South,6527603.79,233129
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,4189065.64,149609
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,West,4733500.57,169054
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,National,National,19710028.73,703930
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,3301135.14,117898
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,South,5079133.83,181398
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,3197357.93,114191
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,West,3296573.31,117735
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,Retail,National,National,14874200.21,531221
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1654116.06,59076
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2618498.43,93518
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1635623.32,58415
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1733055.32,61895
2024-05,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,National,National,7641293.14,272903
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,4566278.18,163081
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,South,7169216.32,256043
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,4182012.41,149358
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,Region,West,4819331.66,172119
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Veterinary,National,National,20736838.56,740601
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,3281084.16,117182
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,South,4894601.71,174807
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,3221282.48,115046
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Retail,Region,West,3494768.26,124813
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,Retail,National,National,14891736.61,531848
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1834347.05,65512
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2817352.75,100620
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1643732.92,58705
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1916120.34,68433
2024-06,2024-Q2,Parasiticides,Simparica Trio,True,E-commerce,National,National,8211553.07,293270
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,4240006.89,151429
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,South,6511810.59,232565
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,4071706.77,145418
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,West,4553379.43,162621
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,National,National,19376903.69,692032
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,3292170.0,117577
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,South,5044686.57,180167
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,3143592.88,112271
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,West,3425611.78,122343
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,Retail,National,National,14906061.22,532359
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1691334.53,60405
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2606657.04,93095
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1622206.39,57936
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1829105.51,65325
2024-07,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,National,National,7749303.47,276761
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,4160315.49,148583
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,South,5860861.36,209316
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,3588816.57,128172
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,West,4158309.51,148511
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,National,National,17768302.92,634582
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,3086676.76,110238
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,South,4644571.57,165878
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,2896692.31,103453
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,West,3227397.61,115264
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,Retail,National,National,13855338.25,494834
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1615685.27,57703
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2397137.55,85612
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1521920.33,54354
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1742327.12,62226
2024-08,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,National,National,7277070.27,259895
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,3229283.05,115332
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,South,5023571.79,179413
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,3050244.74,108937
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,Region,West,3445893.23,123068
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Veterinary,National,National,14748992.81,526750
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,2504381.93,89442
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,South,4069055.66,145323
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,2393308.69,85475
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Retail,Region,West,2526333.65,90226
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,Retail,National,National,11493079.93,410467
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1357785.3,48492
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,South,2081120.95,74326
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1355947.16,48427
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1419284.72,50689
2024-09,2024-Q3,Parasiticides,Simparica Trio,True,E-commerce,National,National,6214138.13,221934
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,2795270.5,99831
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,South,4133290.92,147618
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,2586562.94,92377
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,West,2700204.85,96436
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,National,National,12215329.22,436262
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,2022365.49,72227
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,South,3175358.3,113406
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,2020119.93,72147
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,West,2263498.63,80839
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,Retail,National,National,9481342.36,338619
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1200997.72,42893
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,South,1871677.75,66846
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,1152822.42,41172
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1297166.82,46327
2024-10,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,National,National,5522664.71,197238
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,2370597.33,84664
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,South,3523606.4,125843
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,2305241.6,82330
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,West,2486268.56,88795
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,National,National,10685713.89,381633
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,Northeast,1867830.06,66708
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,South,2781668.23,99345
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,Midwest,1820390.5,65014
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Retail,Region,West,1863129.23,66540
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,Retail,National,National,8333018.02,297608
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,Northeast,1111400.76,39693
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,South,1644936.76,58748
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,Midwest,996812.06,35600
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,Region,West,1071380.8,38264
2024-11,2024-Q4,Parasiticides,Simparica Trio,True,E-commerce,National,National,4824530.38,172305
2024-12,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Northeast,2237304.92,79904
2024-12,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,South,3397272.94,121331
2024-12,2024-Q4,Parasiticides,Simparica Trio,True,Veterinary,Region,Midwest,2090482.03,74660
