source,month,quarter,category,brand_reported,sku_raw,channel,geo_level,geo,observed_units,observed_sales,coverage
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX LARGE,Retail,National,National,14270,770576.5,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX SMALL,Retail,National,National,19351,1045006.89,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL LARGE,Retail,National,National,19079,1240213.63,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL SMALL,Retail,National,National,26705,1735818.33,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD VAX LARGE,Retail,National,National,18772,375414.37,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD VAX SMALL,Retail,National,National,26176,523538.37,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM LARGE,Retail,National,National,15877,920864.07,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM SMALL,Retail,National,National,21506,1247312.58,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH VET LARGE,Retail,National,National,17775,302175.33,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH VET SMALL,Retail,National,National,23734,403480.83,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP PRO LARGE,Retail,National,National,102156,2145251.71,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP PRO SMALL,Retail,National,National,144826,3041354.62,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE JOINT LARGE,Retail,National,National,10379,456637.76,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE JOINT SMALL,Retail,National,National,14187,624214.24,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE CANINE LARGE,Retail,National,National,22782,478421.9,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE CANINE SMALL,Retail,National,National,31520,661911.65,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA LARGE,Retail,National,National,7288,349801.36,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA SMALL,Retail,National,National,10635,510526.34,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE VET LARGE,Retail,National,National,9044,370812.8,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE VET SMALL,Retail,National,National,12380,507614.15,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY CANINE LARGE,Retail,National,National,7807,288850.43,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY CANINE SMALL,Retail,National,National,11011,407394.15,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB ANALYZER LARGE,Retail,National,National,10288,154317.82,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB ANALYZER SMALL,Retail,National,National,14226,213407.51,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET DX LARGE,Retail,National,National,17212,275383.38,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET DX SMALL,Retail,National,National,23569,377108.5,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA TRIO LARGE,Retail,National,National,179931,5038061.73,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA TRIO SMALL,Retail,National,National,249417,6983667.83,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF PRO LARGE,Retail,National,National,12671,620897.19,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF PRO SMALL,Retail,National,National,17231,844397.37,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD PLUS LARGE,Retail,National,National,122688,2944522.17,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD PLUS SMALL,Retail,National,National,172236,4133642.67,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD LARGE,Retail,National,National,17143,377142.27,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD SMALL,Retail,National,National,23758,522662.39,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD LARGE,Retail,National,National,158599,4123593.67,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD SMALL,Retail,National,National,207123,5385220.95,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD IMMUNIZE LARGE,Retail,National,National,16951,322077.28,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD IMMUNIZE SMALL,Retail,National,National,23470,445930.3,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VETSELECT CORE VAX LARGE,Retail,National,National,54902,768632.93,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VETSELECT CORE VAX SMALL,Retail,National,National,74875,1048244.28,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,VetSelect Derma,VETSELECT DERMA LARGE,Retail,National,National,29850,1134319.63,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,VetSelect Derma,VETSELECT DERMA SMALL,Retail,National,National,41478,1576179.64,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,VetSelect Dx,VETSELECT DX LARGE,Retail,National,National,36137,433644.9,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,VetSelect Dx,VETSELECT DX SMALL,Retail,National,National,48051,576619.42,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VetSelect Flea & Tick,VETSELECT FLEA & TICK LARGE,Retail,National,National,255922,4350678.11,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VetSelect Flea & Tick,VETSELECT FLEA & TICK SMALL,Retail,National,National,354019,6018312.0,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,VetSelect Joint,VETSELECT JOINT LARGE,Retail,National,National,23549,682919.33,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,VetSelect Joint,VETSELECT JOINT SMALL,Retail,National,National,32792,950975.95,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,Vetscan,VETSCAN LARGE,Retail,National,National,11920,214564.12,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,Vetscan,VETSCAN SMALL,Retail,National,National,16021,288401.8,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX LARGE,Retail,Region,Midwest,2883,155673.77,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX SMALL,Retail,Region,Midwest,3766,203355.97,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL LARGE,Retail,Region,Midwest,474,30801.93,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,Apoquel,APOQUEL SMALL,Retail,Region,Midwest,686,44615.94,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD VAX LARGE,Retail,Region,Midwest,3720,74398.76,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,BioShield Vax,BIOSHIELD VAX SMALL,Retail,Region,Midwest,5265,105307.7,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM LARGE,Retail,Region,Midwest,3424,198586.07,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,DermaCalm,DERMACALM SMALL,Retail,Region,Midwest,4451,258172.55,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH VET LARGE,Retail,Region,Midwest,3742,63609.67,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIAGNOSTECH VET SMALL,Retail,Region,Midwest,5087,86479.54,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP PRO LARGE,Retail,Region,Midwest,20806,436920.07,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,FleaStop Pro,FLEASTOP PRO SMALL,Retail,Region,Midwest,29357,616498.47,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE JOINT LARGE,Retail,Region,Midwest,2111,92888.46,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,FLEXICARE JOINT SMALL,Retail,Region,Midwest,2877,126577.2,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE CANINE LARGE,Retail,Region,Midwest,4783,100453.44,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,IMMUNOCORE CANINE SMALL,Retail,Region,Midwest,6841,143661.48,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA LARGE,Retail,Region,Midwest,1530,73433.21,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,LIBRELA SMALL,Retail,Region,Midwest,2326,111647.32,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE VET LARGE,Retail,Region,Midwest,1796,73622.49,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,OSTEOEASE VET SMALL,Retail,Region,Midwest,2449,100409.24,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY CANINE LARGE,Retail,Region,Midwest,1475,54558.23,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAINAWAY CANINE SMALL,Retail,Region,Midwest,2294,84877.64,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB ANALYZER LARGE,Retail,Region,Midwest,2197,32961.19,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,PETLAB ANALYZER SMALL,Retail,Region,Midwest,2936,44046.78,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET DX LARGE,Retail,Region,Midwest,3451,55209.58,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,RAPIDVET DX SMALL,Retail,Region,Midwest,4721,75530.77,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA TRIO LARGE,Retail,Region,Midwest,38898,1089130.1,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,Simparica Trio,SIMPARICA TRIO SMALL,Retail,Region,Midwest,52423,1467848.44,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF PRO LARGE,Retail,Region,Midwest,2638,129261.72,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,SkinRelief Pro,SKINRELIEF PRO SMALL,Retail,Region,Midwest,3546,173760.46,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD PLUS LARGE,Retail,Region,Midwest,24725,593400.41,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,TickShield Plus,TICKSHIELD PLUS SMALL,Retail,Region,Midwest,34497,827916.73,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD LARGE,Retail,Region,Midwest,3730,82056.64,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,Vanguard,VANGUARD SMALL,Retail,Region,Midwest,5079,111736.41,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD LARGE,Retail,Region,Midwest,33156,862066.15,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VectraGuard,VECTRAGUARD SMALL,Retail,Region,Midwest,44588,1159297.98,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD IMMUNIZE LARGE,Retail,Region,Midwest,3651,69366.21,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VETGUARD IMMUNIZE SMALL,Retail,Region,Midwest,4933,93732.41,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VETSELECT CORE VAX LARGE,Retail,Region,Midwest,11311,158360.43,0.91
nielsen_scanner,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VETSELECT CORE VAX SMALL,Retail,Region,Midwest,15497,216953.58,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,VetSelect Derma,VETSELECT DERMA LARGE,Retail,Region,Midwest,6482,246303.98,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,VetSelect Derma,VETSELECT DERMA SMALL,Retail,Region,Midwest,9021,342811.42,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,VetSelect Dx,VETSELECT DX LARGE,Retail,Region,Midwest,7282,87387.13,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,VetSelect Dx,VETSELECT DX SMALL,Retail,Region,Midwest,10095,121143.95,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VetSelect Flea & Tick,VETSELECT FLEA & TICK LARGE,Retail,Region,Midwest,50963,866366.8,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,VetSelect Flea & Tick,VETSELECT FLEA & TICK SMALL,Retail,Region,Midwest,74492,1266358.71,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,VetSelect Joint,VETSELECT JOINT LARGE,Retail,Region,Midwest,5136,148941.41,0.91
nielsen_scanner,2024-04,2024-Q2,Pain/Osteoarthritis,VetSelect Joint,VETSELECT JOINT SMALL,Retail,Region,Midwest,7205,208952.34,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,Vetscan,VETSCAN LARGE,Retail,Region,Midwest,2586,46548.36,0.91
nielsen_scanner,2024-04,2024-Q2,Petcare Diagnostics,Vetscan,VETSCAN SMALL,Retail,Region,Midwest,3440,61926.03,0.91
nielsen_scanner,2024-04,2024-Q2,Parasiticides,,PRIVATE LABEL UNSPEC,Retail,Region,Northeast,3439,85982.76,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX LARGE,Retail,Region,Northeast,3286,177452.38,0.91
nielsen_scanner,2024-04,2024-Q2,Dermatology,AllerVet RX,ALLERVET RX SMALL,Retail,Region,Northeast,4513,243715.82,0.91
