source,month,quarter,category,brand_reported,sku_raw,channel,geo_level,geo,observed_units,observed_sales,coverage
stackline_ecommerce,2024-10,2024-Q4,Dermatology,AllerVet RX,allervet_rx-l,E-commerce,National,National,22018,1188984.35,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,AllerVet RX,allervet_rx-s,E-commerce,National,National,29653,1601273.0,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,Apoquel,apoquel-l,E-commerce,National,National,31545,2050384.96,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,Apoquel,apoquel-s,E-commerce,National,National,45103,2931703.4,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,BioShield Vax,bioshield_vax-l,E-commerce,National,National,24791,495811.91,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,BioShield Vax,bioshield_vax-s,E-commerce,National,National,33822,676444.81,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,DermaCalm,dermacalm-l,E-commerce,National,National,23702,1374713.42,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,DermaCalm,dermacalm-s,E-commerce,National,National,33178,1924329.05,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,DiagnosTech Vet,diagnostech_vet-l,E-commerce,National,National,43930,746810.79,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,DiagnosTech Vet,diagnostech_vet-s,E-commerce,National,National,61545,1046270.85,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,FleaStop Pro,fleastop_pro-l,E-commerce,National,National,46954,986043.3,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,FleaStop Pro,fleastop_pro-s,E-commerce,National,National,66242,1391077.99,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,FlexiCare Joint,flexicare_joint-l,E-commerce,National,National,15791,694847.23,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,FlexiCare Joint,flexicare_joint-s,E-commerce,National,National,21920,964452.31,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,ImmunoCore Canine,immunocore_canine-l,E-commerce,National,National,28449,597420.48,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,ImmunoCore Canine,immunocore_canine-s,E-commerce,National,National,39655,832752.85,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,Librela,librela-l,E-commerce,National,National,14062,675026.79,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,Librela,librela-s,E-commerce,National,National,19909,955629.69,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,OsteoEase Vet,osteoease_vet-l,E-commerce,National,National,15130,620381.27,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,OsteoEase Vet,osteoease_vet-s,E-commerce,National,National,21437,878890.77,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,PainAway Canine,painaway_canine-l,E-commerce,National,National,13280,491369.69,0.88
stackline_ecommerce,2024-10,2024-Q4,Pain/Osteoarthritis,PainAway Canine,painaway_canine-s,E-commerce,National,National,18223,674243.3,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,PetLab Analyzer,petlab_analyzer-l,E-commerce,National,National,25766,386488.38,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,PetLab Analyzer,petlab_analyzer-s,E-commerce,National,National,35837,537561.41,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,RapidVet Dx,rapidvet_dx-l,E-commerce,National,National,42946,687149.03,0.88
stackline_ecommerce,2024-10,2024-Q4,Petcare Diagnostics,RapidVet Dx,rapidvet_dx-s,E-commerce,National,National,59906,958505.21,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,Simparica Trio,simparica_trio-l,E-commerce,National,National,73206,2049771.73,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,Simparica Trio,simparica_trio-s,E-commerce,National,National,100709,2819839.99,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,SkinRelief Pro,skinrelief_pro-l,E-commerce,National,National,19372,949269.42,0.88
stackline_ecommerce,2024-10,2024-Q4,Dermatology,SkinRelief Pro,skinrelief_pro-s,E-commerce,National,National,27268,1336158.6,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,TickShield Plus,tickshield_plus-l,E-commerce,National,National,54083,1297987.51,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,TickShield Plus,tickshield_plus-s,E-commerce,National,National,72870,1748883.33,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,Vanguard,vanguard-l,E-commerce,National,National,26533,583716.21,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,Vanguard,vanguard-s,E-commerce,National,National,36799,809579.78,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,VectraGuard,vectraguard-l,E-commerce,National,National,62732,1631030.64,0.88
stackline_ecommerce,2024-10,2024-Q4,Parasiticides,VectraGuard,vectraguard-s,E-commerce,National,National,85937,2234370.42,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,VetGuard Immunize,vetguard_immunize-l,E-commerce,National,National,21886,415836.45,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,VetGuard Immunize,vetguard_immunize-s,E-commerce,National,National,30141,572665.18,0.88
stackline_ecommerce,2024-10,2024-Q4,Vaccines,VetSelect Core Vax,vetselect_core_vax-l,E-commerce,National,National,25316,354406.35,0.88
