source,month,quarter,category,brand_reported,sku_raw,channel,geo_level,geo,observed_units,observed_sales,coverage
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,AllerVet RX,DRM-ALLERVET-R-L,Veterinary,National,National,74512,4023691.78,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,AllerVet RX,DRM-ALLERVET-R-S,Veterinary,National,National,101454,5478512.9,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,Apoquel,DRM-APOQUEL-L,Veterinary,National,National,129507,8417970.56,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,Apoquel,DRM-APOQUEL-S,Veterinary,National,National,177348,11527602.88,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,BioShield Vax,VAC-BIOSHIELD--L,Veterinary,National,National,210366,4207331.57,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,BioShield Vax,VAC-BIOSHIELD--S,Veterinary,National,National,287801,5756046.34,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,DermaCalm,DRM-DERMACALM-L,Veterinary,National,National,79753,4625621.48,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,DermaCalm,DRM-DERMACALM-S,Veterinary,National,National,110594,6414451.19,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIA-DIAGNOSTEC-L,Veterinary,National,National,250041,4250682.14,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,DiagnosTech Vet,DIA-DIAGNOSTEC-S,Veterinary,National,National,345273,5869643.95,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,FleaStop Pro,PAR-FLEASTOP-P-L,Veterinary,National,National,123550,2594549.11,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,FleaStop Pro,PAR-FLEASTOP-P-S,Veterinary,National,National,166159,3489335.23,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,PAN-FLEXICARE--L,Veterinary,National,National,77688,3418269.3,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,FlexiCare Joint,PAN-FLEXICARE--S,Veterinary,National,National,107023,4708991.11,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,VAC-IMMUNOCORE-L,Veterinary,National,National,249283,5234948.4,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,ImmunoCore Canine,VAC-IMMUNOCORE-S,Veterinary,National,National,350709,7364886.38,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,PAN-LIBRELA-L,Veterinary,National,National,81681,3920643.52,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,Librela,PAN-LIBRELA-S,Veterinary,National,National,113071,5427432.28,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,PAN-OSTEOEASE--L,Veterinary,National,National,67539,2769144.09,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,OsteoEase Vet,PAN-OSTEOEASE--S,Veterinary,National,National,93868,3848595.82,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAN-PAINAWAY-C-L,Veterinary,National,National,61638,2280641.28,0.96
zoetis_vet_internal,2024-04,2024-Q2,Pain/Osteoarthritis,PainAway Canine,PAN-PAINAWAY-C-S,Veterinary,National,National,87423,3234626.11,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,DIA-PETLAB-ANA-L,Veterinary,National,National,150191,2252864.34,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,PetLab Analyzer,DIA-PETLAB-ANA-S,Veterinary,National,National,207649,3114737.51,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,DIA-RAPIDVET-D-L,Veterinary,National,National,237078,3793239.1,0.96
zoetis_vet_internal,2024-04,2024-Q2,Petcare Diagnostics,RapidVet Dx,DIA-RAPIDVET-D-S,Veterinary,National,National,334945,5359139.27,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,Simparica Trio,PAR-SIMPARICA--L,Veterinary,National,National,255553,7155486.15,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,Simparica Trio,PAR-SIMPARICA--S,Veterinary,National,National,365589,10236483.93,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,SkinRelief Pro,DRM-SKINRELIEF-L,Veterinary,National,National,60594,2969108.03,0.96
zoetis_vet_internal,2024-04,2024-Q2,Dermatology,SkinRelief Pro,DRM-SKINRELIEF-S,Veterinary,National,National,85281,4178786.35,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,TickShield Plus,PAR-TICKSHIELD-L,Veterinary,National,National,142906,3429748.62,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,TickShield Plus,PAR-TICKSHIELD-S,Veterinary,National,National,200202,4804853.61,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,Vanguard,VAC-VANGUARD-L,Veterinary,National,National,296652,6526361.17,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,Vanguard,VAC-VANGUARD-S,Veterinary,National,National,399644,8792185.16,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,VectraGuard,PAR-VECTRAGUAR-L,Veterinary,National,National,173663,4515226.61,0.96
zoetis_vet_internal,2024-04,2024-Q2,Parasiticides,VectraGuard,PAR-VECTRAGUAR-S,Veterinary,National,National,238080,6190093.26,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VAC-VETGUARD-I-L,Veterinary,National,National,182459,3466735.46,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,VetGuard Immunize,VAC-VETGUARD-I-S,Veterinary,National,National,254974,4844519.16,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VAC-VETSELECT--L,Veterinary,National,National,168367,2357147.69,0.96
zoetis_vet_internal,2024-04,2024-Q2,Vaccines,VetSelect Core Vax,VAC-VETSELECT--S,Veterinary,National,National,231409,3239729.62,0.96
